"","Genes","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"8551","SNAPC2",4.70429554185234e-05,0.301942152330772,0.051,0.069,0.757626797015319
"8552","MAEA",4.71632447537247e-05,0.484554294785435,0.084,0.11,0.759564056758737
"8553","GOLGA1",4.71783203196507e-05,0.157969298675009,0.018,0.03,0.759806848747975
"8554","SCAP",4.73120068270971e-05,0.358262061348764,0.047,0.065,0.761959869950399
"8555","ACCS",4.73542332786269e-05,0.116878489354706,0.01,0.019,0.762639926952287
"8556","FBXL12",4.74449734437447e-05,0.496172587117743,0.063,0.084,0.764101297311509
"8557","BTD",4.74774325746591e-05,0.490079595528554,0.034,0.049,0.764624051614885
"8558","LARP4",4.78921969224046e-05,0.466575900243187,0.055,0.075,0.771303831435327
"8559","NUP37",4.8526487541518e-05,0.590225174949701,0.055,0.074,0.781519081856147
"8560","ITPRIPL2",4.90287513553337e-05,1.32147494643601,0.053,0.041,0.78960804057765
"8561","SWI5",4.90892219877497e-05,1.26235006847541,0.106,0.093,0.790581920112709
"8562","COPB1",4.9303918641486e-05,0.357081098521968,0.14,0.177,0.794039609721133
"8563","ATG10",4.93207606753943e-05,0.28393638606219,0.039,0.055,0.794310850677225
"8564","GPS2",4.93874604746863e-05,0.134051477801122,0.107,0.133,0.795385050944823
"8565","DTWD1",4.94911909662466e-05,1.14939884097068,0.115,0.101,0.797055630511402
"8566","ALAD",5.00629206358318e-05,0.419245023020833,0.034,0.049,0.806263336840072
"8567","CEP63",5.00945353669713e-05,0.454244125597218,0.06,0.081,0.806772492085073
"8568","FASTK",5.0128176526653e-05,0.473013690895957,0.117,0.148,0.807314282961747
"8569","KANSL1",5.03079283548131e-05,0.353314503261565,0.128,0.161,0.810209186154265
"8570","DDX52",5.04326394829367e-05,0.433994365816491,0.077,0.101,0.812217658872696
"8571","GTPBP3",5.06835390580368e-05,0.439973068303655,0.035,0.05,0.816258396529683
"8572","TRMT61B",5.09512106965733e-05,0.290883467130106,0.042,0.058,0.820569248268312
"8573","TAF13",5.15732089177803e-05,0.12354921378145,0.026,0.039,0.830586529620851
"8574","SRP9",5.22515681353489e-05,0.500177020433696,0.392,0.418,0.841511504819794
"8575","LONP2",5.26361897083802e-05,0.433200688481778,0.106,0.135,0.847705835253463
"8576","USP33",5.34733977582154e-05,0.389370968306282,0.081,0.105,0.861189070896059
"8577","DFFB",5.5247938673965e-05,-0.465436736113591,0.007,0.015,0.889768052344207
"8578","FBXO45",5.55175541372822e-05,0.432638796825588,0.014,0.024,0.89411020938093
"8579","PSMA5",5.65679924086124e-05,0.331305256114716,0.211,0.265,0.911027517740703
"8580","TOLLIP",5.66782554045036e-05,0.491480989062854,0.075,0.098,0.91280330328953
"8581","TNRC6C",5.67456098332833e-05,0.946390344901805,0.083,0.069,0.913888046365027
"8582","SYNC",5.71236496175132e-05,0.396505159213834,0.047,0.065,0.91997637709005
"8583","ACTA2",5.73299442287397e-05,-2.36183792171966,0.086,0.104,0.923298751803853
"8584","ZNHIT6",5.74243215261696e-05,0.433473371411945,0.047,0.064,0.924818698178962
"8585","ZNF486",5.75806255987376e-05,-0.531072890234285,0.006,0.014,0.927335975267669
"8586","ASNSD1",5.80136738161627e-05,1.05135922371873,0.099,0.085,0.934310216809301
"8587","PRKCE",5.83968864011139e-05,0.185289603713687,0.019,0.03,0.940481855489939
"8588","RAP2C-AS1",5.86782751540347e-05,1.53650203824222,0.017,0.01,0.945013621355729
"8589","B3GALT4",5.88875564023851e-05,1.08960283045258,0.055,0.043,0.948384095860412
"8590","TBXA2R",5.93003482826558e-05,1.30463560948567,0.013,0.008,0.955032109092172
"8591","ASMTL",5.96506959797102e-05,1.0738275733119,0.093,0.079,0.960674458753233
"8592","VAV2",6.0021433595759e-05,0.367539830585607,0.017,0.028,0.966645188059699
"8593","ARVCF",6.03325175914799e-05,1.92229973016999,0.017,0.011,0.971655195810784
"8594","PFDN2",6.04678043332806e-05,0.35963638314561,0.227,0.284,0.973833988787484
"8595","NUDT10",6.12619593233511e-05,-1.05099214006653,0.003,0.01,0.98662385490257
"8596","MTX3",6.13099240159981e-05,0.196368454123458,0.014,0.024,0.987396326277649
"8597","PDZD11",6.15634047651064e-05,0.577768288441524,0.091,0.118,0.991478633742039
"8598","STX12",6.23220728257308e-05,0.947707193490767,0.128,0.115,1
"8599","TRPM7",6.23806140612702e-05,0.363718341230705,0.062,0.082,1
"8600","ZFX",6.27034844532781e-05,0.269802616219357,0.064,0.084,1
"8601","WDR41",6.30024307978525e-05,0.470358086272666,0.049,0.067,1
"8602","STK11IP",6.30606948594866e-05,-0.115004450948736,0.012,0.021,1
"8603","WNT5B",6.37769101925114e-05,-0.605616607679486,0.004,0.011,1
"8604","KAT2B",6.38991780037179e-05,1.11909139020932,0.044,0.033,1
"8605","ELP4",6.3902421008477e-05,0.306886083867925,0.037,0.053,1
"8606","PPARG",6.52757848910728e-05,0.419144947164863,0.028,0.042,1
"8607","CMPK2",6.54596226048885e-05,1.3506270578339,0.025,0.017,1
"8608","FOXD2",6.56247478830257e-05,0.174525017422954,0.008,0.016,1
"8609","TMEM138",6.69089387077982e-05,0.377271840394564,0.055,0.074,1
"8610","TPD52L2",6.70866020785781e-05,0.457047300903453,0.088,0.113,1
"8611","SH3PXD2B",6.72529389910932e-05,1.59735571969634,0.028,0.02,1
